Name of directory,Link to directory
Community Broadband Network Map,http://www.muninetworks.org/communitymap
NYC Community Gardens,http://harvest.farmingconcrete.org/
CFNE's Borrowers and Co-op Investors,"http://maps.google.com/maps/ms?hl=en&ie=UTF8&msa=0&msid=210226497694062434648.00049e26384992de4d5cd&ll=42.844584,-72.752414&spn=3.410832,7.493733&source=embed"
NYC Solidarity Economy Map,http://solidaritynyc.org/projects/solidarity-economies-in-nyc
Valley Co-operative Business Association,http://maps.google.com/maps/ms?authuser=0&vps=21&hl=en&ie=UTF8&oe=UTF8&msa=0&msid=205153779867689125866.0004a5c61f2b29a1ddf1d
NASCO Map of Cities with Members,http://maps.google.com/maps/ms?msid=217804105390754797288.00045a6a3db43f6bb5697&msa=0
Independent Bookstores Across America,http://www.dwell.com/maps/independent-bookstores-across-america.html
Rural Community Shops in the UK,http://www.plunkett.uk.net/content/rural-community-shops
Farmers' Markets-USDA,http://codeforamerica.org/2011/08/08/farmers-market-api/
Community Acupuncture Clinics,https://www.pocacoop.com/clinics
Subsidized Housing Information Project Data Search & Mapping Tool,http://datasearch.furmancenter.org/
Green Apple Maps of ecological NYC,http://greenapplemap.org/page/outreach
Green Maps from around the world,http://www.greenmap.org/greenhouse/en/maps
Open Green Map,http://www.opengreenmap.org/home
Renewable Energy Atlas of Vermont,http://www.vtenergyatlas.com/
Wind Resource Maps,http://www.windpoweringamerica.gov/wind_maps.asp
Wisconsin Cooperatives Directory,http://data.uwcc.wisc.edu/Directory.aspx
Adirondack Harvest Farm Fresh Foods Map,http://www.adirondackharvest.com/farm-fresh-foods-map-helpful-hints.html
Philadelphia Solidarity Economy Map,http://www.haverford.edu/politicalscience/solidarityeconomy/mapping/philadelphia.php
Maine Food Map,http://eatmainefoods.ning.com/page/maine-food-map
"Maine Food, Farming, and Fishing Resource Map",http://eatmainefoods.ning.com/page/maine-food-farming-and-fishing
Co-operative Economy of the Northeast,"http://maps.google.com/maps/ms?msa=0&msid=205153779867689125866.00045ff001eb7015218c5&hl=en&ie=UTF8&t=m&source=embed&ll=44.527843,-70.444336&spn=7.518782,14.0625&z=6"
Global Transition to a New Economy,http://www.gtne.org/
"Co-op Directory - People's Food Co-op, Portland OR",http://www.peoples.coop/cooperative-ownership/co-op-directory-1
Agricultural Cooperative Council of Oregon Members,http://acco.coop/membership.html
Social Enterprise Dining Map,https://maps.google.com/maps/ms?ie=UTF&msa=0&msid=217835695147279024673.0004a8bf53d030c8c8f83
Slow Money Financing Programs Map,"https://maps.google.com/maps/ms?ie=UTF8&t=h&msa=0&msid=207057923130217051432.00048c525670e93dc3099&source=embed&ll=39.774769,-105.117187&spn=23.588454,43.857422&z=4"
Knowledge Atlas Coop Directory,"http://knowledgeatlas.coop/coops"
CoopDC,"http://coopdc.org/coop-directory/"
